城市名,县区名,年份,城乡养老保险参保万人,城乡养老保险缴费万人,城乡养老保险离退休万人,城乡养老保险缴费万元,城乡养老保险支出万元,企业养老保险参保万人,企业养老保险缴费万人,企业养老保险离退休万人,企业养老保险缴费万元,企业养老保险支出万元,机关养老保险参保人数,机关养老保险缴费人数,机关养老保险离退休人数,机关养老保险缴费万元,机关养老保险支出万元,所属省份
阿坝藏族羌族自治州,理县,2023,1.6189,,,411.14,914.51,0.6138,0.257,0.3568,6644,9378,3049,1826,1223,8489,9348,四川省
阿坝藏族羌族自治州,理县,2022,1.6382,0.8901,0.7481,282.94,,0.6043,0.269,0.3353,5974.5,8570,3054,1873,1181,7284.5,8792,四川省
阿坝藏族羌族自治州,理县,2020,1.6876,1.0127,0.6749,236.47,,0.6518,0.3454,0.3064,3145,7201,3094,1959,1135,5878,7831,四川省
阿克苏地区,阿克苏市,2022,12.97,,,5362.67,4700,7.2,,,88400,47000,16700,,,35500,38500,新疆维吾尔自治区
阿克苏地区,阿克苏市,2021,12.47,,,4751.9,4477.35,5.86,,,72400,44800,16400,,,27700,36300,新疆维吾尔自治区
阿克苏地区,乌什县,2023,12.23,,,2246.07,3873.06,0.76,,,8471.85,5096.86,8500,,,19324.89,18349.41,新疆维吾尔自治区
阿克苏地区,乌什县,2022,11.1723,9.6581,1.5142,6245.75,3407.64,0.7404,0.6071,0.1333,8361.54,4912.96,10646,8282,2364,21885.61,17458.19,新疆维吾尔自治区
阿克苏地区,乌什县,2021,,,,,,,,,,,10129,7805,2324,14523.81,16285.08,新疆维吾尔自治区
阿克苏地区,乌什县,2020,11.0749,9.6644,1.4105,13752.09,14958.12,0.5784,0.4514,0.127,5531.77,4556.54,9583,7408,2175,1858.21,2622.54,新疆维吾尔自治区
阿拉善盟,额济纳旗,2023,0.5907,,,133.57,694.75,0.6667,,,14806.68,14806.49,16302,4150,12152,11503.08,,内蒙古自治区
阿勒泰地区,福海县,2023,2.144,1.6671,0.4769,,1174,2.1484,1.3869,0.4964,,17612,,,2651,,19994,新疆维吾尔自治区
阿勒泰地区,福海县,2022,2.2324,1.7939,0.4385,,992,2.2314,1.507,0.7244,,16373,,,2582,,18793,新疆维吾尔自治区
阿勒泰地区,福海县,2021,1.8808,1.4742,0.4066,,,1.4592,1.0038,0.4554,,,,,2560,,,新疆维吾尔自治区
安康市,平利县,2020,,,,,,,,,,,,,,,,陕西省
安康市,石泉县,2015,10.0406,,,,,0.7474,,,,,,,,,,陕西省
安庆市,怀宁县,2022,39.8415,,,,,5.9675,,,,,15225,,,,,安徽省
安顺市,紫云苗族布依族自治县,2011,,,,,,0.2556,,,,,96,,,,,贵州省
安阳市,安阳县,2023,31.53,,,,,,,,,,,,,,,河南省
巴彦淖尔市,五原县,2023,11.8726,7.4081,4.4645,7021.25,9750.55,3.8109,1.8892,1.9217,23500,60600,11100,5749,5351,12000,33100,内蒙古自治区
巴彦淖尔市,五原县,2022,11.9503,7.8496,4.1007,6729.58,8865.6,3.6345,1.8053,1.8292,19500,54900,11119,5919,5200,11072.11,29917.69,内蒙古自治区
巴彦淖尔市,五原县,2021,12.0185,7.9973,4.0212,7057.81,,1.827,0.0612,1.7658,18536,51000,11189,6176,5013,,27600,内蒙古自治区
巴彦淖尔市,五原县,2020,12.0639,8.2416,3.8223,,,3.482,1.6997,1.7823,14000,48000,11181,6200,4981,,25600,内蒙古自治区
巴音郭楞蒙古自治州,和硕县,2023,1.2214,0.8632,0.3582,853,962,,,0.1883,10367,19216,3263,1492,1771,8083,13188,新疆维吾尔自治区
巴音郭楞蒙古自治州,和硕县,2022,1.5944,1.2634,0.331,801.45,857.22,1.0155,0.4972,0.5183,10307.4,19099.53,3223,1557,1666,6886.44,12335.32,新疆维吾尔自治区
巴中市,巴州区,2023,27.08,,,,,12.91,,,,,18200,,,,,四川省
巴中市,巴州区,2022,0.56,,,,,12.8,,,,,11800,,,,,四川省
巴中市,巴州区,2021,28.16,,,,,13.74,,,,,18100,,,,,四川省
巴中市,巴州区,2020,37.4,,,,,13.54,,,,,18000,,,,,四川省
白山市,长白朝鲜族自治县,2022,2.2475,1.5393,0.7082,,1110.5,2.8165,1.2871,1.5294,,11731.3,4213,1767,2446,,15666.2,吉林省
