地区,年份,年末常住人口万人,民用汽车拥有量万辆,公路客运量万人,交通事故直接财产损失总计万元,交通事故受伤人数总计人,交通事故死亡人数总计人,交通事故发生数总计起
北京市,2023,2186,639.98,60489,3566.1,5419,1001,6472
天津市,2023,1364,418.59,11310,3199,5907,927,6254
河北省,2023,7393,2017.92,29585,2214.8,2757,2181,3871
山西省,2023,3466,925.94,22662,5154.4,7430,2226,7778
内蒙古自治区,2023,2396,749.07,19817,2226.6,3846,784,3692
辽宁省,2023,4182,1101.81,48517,1761.7,4149,1805,4778
吉林省,2023,2339,571.8,29873,1717.2,7257,1482,6745
黑龙江省,2023,3062,659.57,36114,1736.6,3684,819,3438
上海市,2023,2487,535.82,6908,464.4,560,811,1169
江苏省,2023,8526,2422.7,75309,4337.2,7113,3645,9349
浙江省,2023,6627,2156.76,71866,4585.1,8223,2678,9690
安徽省,2023,6121,1188.79,46763,3478.1,9646,2356,9400
福建省,2023,4183,871.59,27381,2415.7,7652,1594,7983
江西省,2023,4515,799.24,28693,6079.9,3542,1474,3695
山东省,2023,10123,3033.54,55197,3955.6,10569,3009,11589
河南省,2023,9815,2103.46,60622,9645.8,23466,2652,20919
湖北省,2023,5838,1133.76,38328,13395.2,32508,4287,28492
湖南省,2023,6568,1154.16,62006,7541.6,6935,3270,7722
广东省,2023,12706,3068.22,60923,9301.9,33056,7246,34353
广西壮族自治区,2023,5027,942.01,27532,4863.2,17180,2677,15644
海南省,2023,1043,198.08,7017,1488,3186,604,2994
重庆市,2023,3191,606.79,33050,3878.3,4266,936,4227
四川省,2023,8368,1542.23,69769,7441.6,7325,2273,7113
贵州省,2023,3865,692.85,37709,5093.3,14988,2655,13965
云南省,2023,4673,956.15,33934,1658.8,4625,1908,5533
西藏自治区,2023,365,78.35,1150,1347.9,983,278,785
陕西省,2023,3952,904.95,27670,2716.9,5325,917,5109
甘肃省,2023,2465,460.72,24770,709.4,3990,1307,3791
青海省,2023,594,154.93,8878,773.2,1632,463,1699
宁夏回族自治区,2023,729,210.36,7264,263.4,1359,447,1450
新疆维吾尔自治区,2023,2598,611.38,30045,922.5,5317,1316,5039
北京市,2022,2184,627.89,21105,3171.9,4088,1053,5251
天津市,2022,1363,389.28,6959,3639.1,6116,915,6562
河北省,2022,7420,1925.04,4296,3026.6,2882,2339,4080
山西省,2022,3481,869.69,2476,5119.9,6848,2147,7015
内蒙古自治区,2022,2401,701.78,1844,1917.2,3324,865,3359
辽宁省,2022,4197,1049.33,13151,1757.8,4412,1816,4934
吉林省,2022,2348,542.93,5318,2325.6,7933,1594,7541
黑龙江省,2022,3099,627.61,6016,2408.2,5034,954,4522
上海市,2022,2475,504.23,2865,538.8,739,757,1242
江苏省,2022,8515,2303.95,32652,5477,8425,3861,10529
